Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Jan-2011,11882.1,11912.15,11826.95,11855.75,8895927,909.29
04-Jan-2011,11868.4,11872.8,11545.55,11564.05,16041214,1949.98
05-Jan-2011,11545.75,11545.75,11265.55,11305.45,19689201,1988.86
06-Jan-2011,11350.7,11377.1,11164.75,11186.8,19559984,2114.13
07-Jan-2011,11146.45,11258.5,11007.9,11053.35,25192954,2746.05
10-Jan-2011,11024.5,11072.7,10671.6,10700.65,21584988,2389.16
11-Jan-2011,10734.2,10951.2,10620.8,10833.55,22297958,2407.41
12-Jan-2011,10906.4,11161.15,10728.45,11128.15,24855243,2703.24
13-Jan-2011,11125.95,11127.95,10676.5,10716.65,18520804,1939.18
14-Jan-2011,10746.8,10907.3,10387.9,10432.9,19299172,2054.64
17-Jan-2011,10459.6,10571.8,10373.8,10471.1,17582785,1529.08
18-Jan-2011,10534.3,10677.95,10520.3,10618.5,15798854,1466.86
19-Jan-2011,10646.0,10715.05,10562.25,10615.15,16373787,1620.1
20-Jan-2011,10579.25,10878.8,10493.25,10798.35,20737998,1956.54
21-Jan-2011,10750.4,10923.7,10740.0,10889.4,20711935,2073.1
24-Jan-2011,10923.75,11177.85,10913.45,11151.15,25594559,2979.19
25-Jan-2011,11183.55,11256.95,10849.4,10872.95,26933578,2901.82
27-Jan-2011,10946.4,10970.85,10639.85,10676.15,33825401,2658.23
28-Jan-2011,10690.05,10736.4,10481.1,10578.25,30566761,2462.02
31-Jan-2011,10444.35,10696.3,10400.25,10641.85,23667220,1995.45
01-Feb-2011,10683.45,10683.45,10457.8,10481.2,19052700,1854.34
02-Feb-2011,10599.0,10614.95,10418.2,10470.15,16558714,1586.7
03-Feb-2011,10460.95,10704.3,10429.5,10670.6,14250534,1383.01
04-Feb-2011,10632.9,10772.45,10385.9,10433.85,16887180,1798.37
07-Feb-2011,10457.8,10509.8,10354.6,10384.05,14265174,1306.61
08-Feb-2011,10431.05,10431.05,10119.45,10147.75,19757849,1880.47
09-Feb-2011,10131.35,10294.8,10038.15,10116.65,21990881,1828.35
10-Feb-2011,10106.25,10227.75,10017.85,10074.1,18142965,1759.99
11-Feb-2011,10061.4,10473.45,10061.4,10447.75,17556064,1719.19
14-Feb-2011,10477.85,10815.7,10477.85,10802.55,15441564,1593.41
15-Feb-2011,10821.5,11035.15,10722.7,10959.7,21402975,2060.18
16-Feb-2011,10929.25,11024.25,10908.65,10960.7,13368018,1261.3
17-Feb-2011,10996.25,11190.2,10918.1,11134.7,17923022,1655.91
18-Feb-2011,11153.8,11300.45,10915.35,10949.7,24049126,2454.15
21-Feb-2011,10935.3,11070.35,10806.3,11050.1,12743472,1275.16
22-Feb-2011,10957.5,10957.5,10777.65,10836.8,12459726,1277.51
23-Feb-2011,10776.8,10857.85,10628.65,10646.45,14092148,1576.28
24-Feb-2011,10603.25,10643.25,10169.0,10210.75,30494243,2721.96
25-Feb-2011,10329.65,10510.5,10263.15,10435.85,17310426,1859.97
28-Feb-2011,10512.2,10744.85,10364.35,10435.35,20882243,2124.83
01-Mar-2011,10541.95,10906.15,10528.35,10885.4,17467260,1682.14
03-Mar-2011,10805.0,11066.4,10759.7,10914.5,23317864,2383.45
04-Mar-2011,11008.9,11134.1,10924.1,10963.4,15478227,1540.56
07-Mar-2011,10886.1,10886.1,10658.3,10782.25,13400598,1318.73
08-Mar-2011,10782.6,10962.7,10779.15,10931.55,11611009,1220.19
09-Mar-2011,10987.4,11054.0,10904.6,10974.8,13624530,1388.68
10-Mar-2011,10920.65,10920.65,10783.3,10850.25,8570911,983.47
11-Mar-2011,10772.9,10904.2,10697.1,10740.95,10342964,1103.22
14-Mar-2011,10730.4,10916.65,10730.4,10893.25,8549523,937.74
15-Mar-2011,10673.9,10784.2,10591.3,10725.8,15737040,1471.38
16-Mar-2011,10777.1,11001.25,10777.1,10957.6,14642372,1475.71
17-Mar-2011,10881.85,11018.3,10824.4,10851.95,18742418,2008.95
18-Mar-2011,10882.0,10927.25,10699.4,10715.9,12681381,1125.13
21-Mar-2011,10795.65,10814.75,10661.15,10723.6,8612801,831.72
22-Mar-2011,10759.95,10822.25,10726.25,10771.3,10534300,1028.97
23-Mar-2011,10755.85,10972.3,10744.7,10958.1,15854028,1419.01
24-Mar-2011,11001.75,11112.6,11001.75,11070.35,12482356,1066.99
25-Mar-2011,11179.2,11420.4,11136.45,11387.3,17583644,1657.23
28-Mar-2011,11348.85,11599.0,11348.15,11523.4,23406895,1970.52
29-Mar-2011,11522.75,11657.6,11507.45,11582.5,15435007,1702.42
30-Mar-2011,11625.5,11801.65,11625.5,11765.2,14811466,1677.24
31-Mar-2011,11804.95,11898.4,11569.25,11705.45,29672943,3501.45
01-Apr-2011,11713.05,11738.45,11540.85,11590.95,13335249,1664.73
04-Apr-2011,11614.45,11840.7,11614.45,11804.3,14005913,1366.36
05-Apr-2011,11853.6,11861.15,11678.1,11798.9,15299091,1422.83
06-Apr-2011,11784.55,11838.05,11686.55,11730.05,14274670,1601.74
07-Apr-2011,11724.75,11825.0,11656.7,11754.4,11993254,1293.79
08-Apr-2011,11751.8,11853.35,11632.55,11673.25,14180172,1366.26
11-Apr-2011,11591.0,11637.0,11551.75,11597.8,12854286,1390.66
13-Apr-2011,11531.45,11856.35,11490.55,11839.5,15316571,1648.9
15-Apr-2011,11810.1,11950.7,11707.6,11735.65,17418048,1791.95
18-Apr-2011,11754.2,11887.1,11525.05,11539.75,18486367,1775.78
19-Apr-2011,11562.95,11631.15,11482.15,11586.75,20321825,1283.48
20-Apr-2011,11678.7,11813.7,11614.6,11794.55,12736970,1289.31
21-Apr-2011,11857.45,11926.05,11836.95,11894.75,13366984,1539.12
25-Apr-2011,11860.35,11978.05,11860.35,11879.0,14411528,1596.55
26-Apr-2011,11903.8,11912.45,11709.8,11867.7,14145291,1599.54
27-Apr-2011,11922.3,11936.35,11732.25,11779.85,12586281,1518.23
28-Apr-2011,11851.75,11855.2,11659.5,11684.8,24039397,2789.18
29-Apr-2011,11671.05,11723.25,11406.85,11483.75,18882062,1861.34
02-May-2011,11509.3,11543.35,11204.65,11243.8,17341010,1617.7
03-May-2011,11222.05,11349.5,10849.15,10898.3,33064218,3539.24
04-May-2011,10888.45,11013.4,10797.6,10913.35,26253155,2383.22
05-May-2011,10909.05,10987.6,10677.3,10730.1,21526596,1873.39
06-May-2011,10751.3,11167.4,10751.3,11145.1,23183731,1995.45
09-May-2011,11194.45,11213.5,10956.35,11076.5,10877625,967.06
10-May-2011,11068.6,11096.9,10945.7,11009.4,10908505,1015.66
11-May-2011,11036.15,11097.25,10904.1,11059.05,11971918,1340.24
12-May-2011,11009.3,11076.0,10865.15,10887.45,11656334,1131.3
13-May-2011,10896.55,11180.4,10838.15,11020.95,15546695,1571.13
16-May-2011,10975.15,10975.15,10878.65,10912.35,9001125,963.28
17-May-2011,10920.95,10972.45,10617.15,10668.85,20447537,2894.61
18-May-2011,10669.6,10695.7,10550.95,10599.05,16747739,2265.89
19-May-2011,10661.45,10674.7,10524.35,10558.35,11075315,1429.86
20-May-2011,10582.45,10727.25,10540.95,10664.1,15104977,1653.5
23-May-2011,10612.55,10612.55,10339.95,10368.25,15372064,1606.37
24-May-2011,10360.95,10524.8,10360.75,10425.55,12365626,1306.65
25-May-2011,10427.15,10428.25,10340.65,10355.8,18226752,1796.42
26-May-2011,10404.05,10501.9,10379.25,10468.3,21941241,2203.19
27-May-2011,10491.45,10735.2,10491.45,10722.65,15728551,1567.02
30-May-2011,10742.0,10823.25,10715.1,10781.45,10396116,966.65
31-May-2011,10828.95,11036.75,10819.45,11020.85,19888326,1886.04
01-Jun-2011,11011.2,11056.4,10959.1,11033.4,11294940,1298.74
02-Jun-2011,10872.25,10881.4,10802.35,10839.25,10753176,1225.38
03-Jun-2011,10860.25,10946.75,10751.1,10782.0,10099081,1069.0
06-Jun-2011,10734.25,10873.9,10682.3,10854.65,9698542,978.06
07-Jun-2011,10799.35,10918.25,10796.15,10873.45,7566001,785.3
08-Jun-2011,10816.4,10882.3,10764.7,10791.45,8225193,903.73
09-Jun-2011,10775.45,10850.35,10734.75,10785.4,8347574,985.09
10-Jun-2011,10800.45,10814.85,10627.6,10714.25,9336085,930.91
13-Jun-2011,10675.3,10757.4,10616.05,10717.5,8521135,926.74
14-Jun-2011,10737.3,10830.4,10737.3,10803.95,14097083,1237.47
15-Jun-2011,10789.9,10795.85,10608.8,10626.65,9095965,1077.15
16-Jun-2011,10550.65,10706.0,10502.4,10572.15,14289446,1504.95
17-Jun-2011,10652.85,10652.85,10548.2,10598.25,12009192,1046.06
20-Jun-2011,10592.65,10618.4,10340.4,10484.3,11185463,1180.13
21-Jun-2011,10503.75,10645.1,10426.85,10459.15,11691513,1245.93
22-Jun-2011,10526.4,10551.8,10435.05,10475.2,8956049,955.17
23-Jun-2011,10453.1,10553.35,10421.65,10526.45,8650931,859.65
24-Jun-2011,10576.5,10875.25,10576.5,10854.5,16214400,1796.43
27-Jun-2011,10808.9,11068.6,10774.1,11032.5,16058582,1827.36
28-Jun-2011,11059.15,11114.2,10986.7,11054.05,12616092,1313.12
29-Jun-2011,11110.35,11170.35,11090.55,11153.35,13562659,1501.67
30-Jun-2011,11183.25,11271.35,11149.2,11244.65,23074213,2161.82
01-Jul-2011,11359.95,11359.95,11190.0,11255.0,10818528,1199.89
04-Jul-2011,11379.05,11401.0,11322.05,11379.8,9596262,931.75
05-Jul-2011,11385.05,11431.7,11302.6,11406.1,9887526,1035.69
06-Jul-2011,11379.2,11404.7,11255.05,11283.05,8272943,866.95
07-Jul-2011,11298.0,11446.55,11232.15,11426.1,11837330,1234.96
08-Jul-2011,11431.95,11451.25,11270.0,11285.15,13657343,1319.8
11-Jul-2011,11275.0,11275.0,11106.85,11135.5,8947008,952.76
12-Jul-2011,11040.7,11131.75,10941.3,11022.55,11843935,1187.14
13-Jul-2011,11065.2,11164.25,11060.9,11142.25,10109907,853.23
14-Jul-2011,11121.4,11385.35,11072.5,11263.8,17432202,1305.36
15-Jul-2011,11249.4,11334.6,11195.5,11234.55,8201646,755.78
18-Jul-2011,11234.7,11277.45,11176.85,11228.85,7416660,611.95
19-Jul-2011,11230.05,11353.75,11204.75,11313.85,13118783,977.85
20-Jul-2011,11372.15,11388.5,11142.4,11164.7,10134704,811.11
21-Jul-2011,11159.1,11193.05,11021.7,11049.8,12408813,978.88
22-Jul-2011,11110.75,11309.45,11105.7,11291.95,20117440,1592.13
25-Jul-2011,11286.25,11433.1,11233.35,11391.8,18852511,1426.15
26-Jul-2011,11397.95,11430.75,11068.2,11114.55,20890181,1878.48
27-Jul-2011,11126.7,11139.65,10961.95,11000.15,18019754,1510.9
